City,Country,Lat,Lng,Current Description,Humidity,Max Temp,Cloudiness,Wind Speed
Olafsvik,IS,64.8945,-23.7142,few clouds,73,35.04,22,9.13
Vilhena,BR,-12.7406,-60.1458,broken clouds,98,66.51,83,3.02
Geraldton,AU,-28.7667,114.6,clear sky,57,79.21,0,10.36
Kurchum,KZ,48.5722,83.6542,overcast clouds,96,-0.4,99,1.54
Gayny,RU,60.3071,54.3241,scattered clouds,76,12.69,35,8.05
Olutanga,PH,7.3106,122.8464,broken clouds,71,82.78,83,5.48
Kincardine,GB,56.0667,-3.7167,overcast clouds,85,37.85,90,5.17
Teguise,ES,29.0605,-13.564,few clouds,78,66.42,20,12.66
Somerset,US,40.5668,-74.5496,mist,98,58.89,100,1.01
Talnakh,RU,69.4865,88.3972,snow,96,10.06,100,6.78
Sao Benedito Do Rio Preto,BR,-3.3336,-43.5283,clear sky,95,72.34,7,2.21
Okhotsk,RU,59.3833,143.3,scattered clouds,96,-15.54,42,5.64
Okha,RU,53.5739,142.9478,broken clouds,86,0.19,81,14.2
Raymond Terrace,AU,-32.75,151.75,light intensity shower rain,41,75.25,100,28.77
Karymskoye,RU,51.6167,114.35,broken clouds,73,14.83,69,12.95
Krasnyy Profintern,RU,57.7446,40.435,overcast clouds,77,19.42,99,12.26
Tombouctou,ML,20.0,-3.0,clear sky,14,81.75,0,9.08
Wewak,PG,-3.5534,143.6268,overcast clouds,83,79.66,99,2.8
Barranca,PE,-10.75,-77.7667,broken clouds,90,64.17,65,4.59
Saldanha,ZA,-33.0117,17.9442,clear sky,62,75.25,0,8.32
Harer,ET,9.3094,42.1258,clear sky,24,74.34,2,3.33
Srednekolymsk,RU,67.45,153.6833,overcast clouds,96,-20.79,100,16.37
Tuktoyaktuk,CA,69.4541,-133.0374,few clouds,83,-16.71,11,9.73
Kenai,US,60.5544,-151.2583,mist,94,26.65,100,0.0
Kizukuri,JP,40.8061,140.3861,broken clouds,67,40.51,81,11.54
Emerald,AU,-23.5333,148.1667,clear sky,21,94.41,0,5.14
Sao Filipe,CV,14.8961,-24.4956,broken clouds,76,73.44,66,4.97
Airai,TL,-8.9266,125.4092,overcast clouds,69,67.44,100,3.02
Clyde River,CA,70.4692,-68.5914,clear sky,62,12.43,0,17.27
Umarga,IN,17.8333,76.6167,scattered clouds,28,84.31,31,13.04
Ulagan,RU,50.6321,87.9563,overcast clouds,83,4.48,100,0.31
Halifax,CA,44.6453,-63.5724,overcast clouds,97,46.22,100,14.97
Qaqortoq,GL,60.7167,-46.0333,few clouds,81,21.9,12,6.67
San Patricio,US,28.017,-97.5169,overcast clouds,97,70.84,92,7.49
Suamico,US,44.6319,-88.0393,overcast clouds,86,31.87,100,0.0
Sisimiut,GL,66.9395,-53.6735,overcast clouds,78,27.25,100,16.06
Valer,NO,60.6785,11.8331,broken clouds,97,14.85,71,3.71
Coolum Beach,AU,-26.5333,153.1,clear sky,88,75.34,0,7.29
Pudozh,RU,61.8099,36.5345,overcast clouds,92,23.88,100,9.06
Saint-Michel-Des-Saints,CA,46.6834,-73.9159,snow,100,34.93,100,3.47
Kahului,US,20.8947,-156.47,clear sky,79,77.85,0,14.97
Poum,NC,-20.2333,164.0167,overcast clouds,80,80.35,96,7.74
Muros,ES,42.7762,-9.0603,overcast clouds,80,54.37,100,5.73
Kawalu,ID,-7.3817,108.2082,overcast clouds,82,79.7,100,3.8
Oksfjord,NO,70.2396,22.3479,broken clouds,88,30.38,81,3.13
Egvekinot,RU,66.3167,-179.1667,light snow,97,6.21,100,4.59
Cordoba,AR,-31.4135,-64.1811,clear sky,49,80.76,0,8.05
Grindavik,IS,63.8424,-22.4338,few clouds,86,28.87,20,8.05
Abalak,RU,58.1286,68.5944,few clouds,93,5.72,23,6.87
Toribio,CO,2.9548,-76.2684,overcast clouds,98,57.52,98,1.81
Saint Anthony,US,45.0205,-93.218,scattered clouds,73,21.24,40,13.8
Mitu,CO,1.1983,-70.1733,overcast clouds,97,70.59,100,1.68
Intipuca,SV,13.1969,-88.0544,clear sky,80,68.81,9,4.05
Port Hawkesbury,CA,45.6169,-61.3485,mist,99,42.39,100,10.36
Severo-Yeniseyskiy,RU,60.3725,93.0408,overcast clouds,92,7.14,100,12.86
Dekar,BW,-21.5333,21.9333,clear sky,33,86.27,3,18.07
Grootfontein,NA,-19.5667,18.1167,clear sky,9,86.38,2,7.72
Chicama,PE,-7.8447,-79.1469,overcast clouds,89,61.34,95,3.31
Catamarca,AR,-28.4696,-65.7852,overcast clouds,38,86.07,99,12.57
Seymchan,RU,62.8833,152.4333,broken clouds,99,-52.71,74,0.07
Soyo,AO,-6.1349,12.3689,broken clouds,73,82.08,73,1.45
Nhulunbuy,AU,-12.2333,136.7667,overcast clouds,65,84.81,100,6.91
Mount Darwin,ZW,-16.7725,31.5838,light rain,46,85.3,57,4.81
Sorong,ID,-0.8833,131.25,overcast clouds,70,83.19,100,8.68
Razole,IN,16.4833,81.8333,broken clouds,38,86.77,77,6.71
Iskateley,RU,67.6803,53.1512,overcast clouds,95,11.32,96,11.16
Pombas,CV,17.1503,-25.0201,scattered clouds,74,67.78,32,4.56
Aswan,EG,24.0934,32.907,clear sky,34,70.95,0,9.33
San Cristobal,VE,7.7669,-72.225,broken clouds,91,60.55,60,2.89
Cortes,ES,41.9395,-1.4396,overcast clouds,72,44.65,93,4.27
Padang,ID,-0.9492,100.3543,overcast clouds,90,82.45,100,8.72
Lazaro Cardenas,MX,17.9583,-102.2,clear sky,86,74.26,1,3.98
Kavaratti,IN,10.5669,72.642,overcast clouds,69,81.99,99,6.06
Celestun,MX,20.8667,-90.4,clear sky,86,69.89,0,10.87
Garowe,SO,8.4054,48.4845,broken clouds,28,87.91,59,10.92
Isla Mujeres,MX,21.2311,-86.731,clear sky,72,77.16,2,11.27
Holme,DK,56.1138,10.1725,scattered clouds,92,32.18,49,8.86
Alyangula,AU,-13.8483,136.4192,broken clouds,56,86.54,68,8.88
Srivardhan,IN,18.0333,73.0167,overcast clouds,51,84.16,88,11.01
Ouadda,CF,8.0777,22.4007,clear sky,16,90.99,1,6.22
Coquimbo,CL,-29.9533,-71.3436,overcast clouds,94,58.73,100,2.3
Phan Thiet,VN,10.9333,108.1,overcast clouds,86,79.57,99,13.65
Jurbise,BE,50.5332,3.9108,overcast clouds,94,41.38,100,5.75
Victoria,HK,22.2855,114.1577,clear sky,69,70.2,0,13.0
Hovd,MN,48.0056,91.6419,scattered clouds,81,2.97,40,0.67
Kholmogory,RU,64.2229,41.656,snow,92,21.4,100,7.27
Cockburn Town,TC,21.4612,-71.1419,broken clouds,61,78.01,69,16.98
Strezhevoy,RU,60.7333,77.5889,overcast clouds,95,2.84,100,8.61
Selty,RU,57.3132,52.1345,broken clouds,89,10.78,53,6.93
Luderitz,NA,-26.6481,15.1594,clear sky,57,69.04,0,19.55
