City,Country,Lat,Lng,Description,Humidity,MaxTemp,Cloudiness,WindSpeed
Carnarvon,AU,-24.8667,113.6333,clear sky,79,71.42,0,19.57
Clyde River,CA,70.4692,-68.5914,snow,85,7.03,20,41.43
Bilibino,RU,68.0546,166.4372,overcast clouds,75,-14.98,94,4.07
Port Hardy,CA,50.6996,-127.4199,broken clouds,93,37.58,75,4.61
Teliu,RO,45.6979,25.858,broken clouds,100,43.0,55,2.57
Hermiston,US,45.8404,-119.2895,mist,93,34.81,100,3.44
Alofi,NU,-19.0595,-169.9187,broken clouds,69,82.29,75,12.66
Provideniya,RU,64.3833,-173.3,light snow,79,10.51,100,8.95
George,ZA,-33.963,22.4617,broken clouds,94,67.55,75,4.61
Padang,ID,-0.9492,100.3543,broken clouds,81,75.87,77,2.64
Saldanha,ZA,-33.0117,17.9442,scattered clouds,82,70.11,47,4.41
Salamanca,ES,40.8333,-6.0,broken clouds,93,45.0,63,6.67
Somerville,US,42.3876,-71.0995,mist,86,42.12,100,7.0
Port Alfred,ZA,-33.5906,26.891,clear sky,96,69.19,9,3.27
Francisco Sa,BR,-16.4758,-43.4883,overcast clouds,87,71.74,100,5.01
Hithadhoo,MV,-0.6,73.0833,overcast clouds,71,81.12,85,10.63
San Carlos De Bariloche,AR,-41.1456,-71.3082,clear sky,16,74.95,0,11.5
Lebu,CL,-37.6167,-73.65,scattered clouds,72,61.86,25,24.76
Newport,GB,51.5877,-2.9984,clear sky,74,32.54,5,9.24
Rio Grande,BR,-32.035,-52.0986,overcast clouds,70,78.91,100,18.23
Barcelos,PT,41.5388,-8.6151,overcast clouds,87,55.54,90,7.65
Asau,RO,46.4333,26.4,scattered clouds,93,29.32,33,3.06
Pangnirtung,CA,66.1451,-65.7125,light snow,86,23.0,100,16.11
Smithers,CA,54.7804,-127.1743,scattered clouds,86,17.92,40,4.61
Bathsheba,BB,13.2167,-59.5167,scattered clouds,89,83.01,40,16.11
Bandarbeyla,SO,9.4942,50.8122,clear sky,73,76.42,0,17.56
Lagos,NG,6.5833,3.75,overcast clouds,80,80.92,92,5.32
Cayenne,GF,4.9333,-52.3333,overcast clouds,83,80.64,100,9.22
Klaksvik,FO,62.2266,-6.589,overcast clouds,54,27.52,100,10.65
Charlestown,AU,-32.95,151.6667,overcast clouds,81,60.85,99,4.0
Upernavik,GL,72.7868,-56.1549,light snow,87,23.76,100,29.66
Dodola,ET,6.9833,39.1833,scattered clouds,73,53.01,45,2.86
Letlhakeng,BW,-24.0944,25.0298,broken clouds,53,77.14,65,5.32
Kapit,MY,2.0167,112.9333,overcast clouds,100,73.11,100,0.6
Kendari,ID,-3.945,122.4989,overcast clouds,93,75.63,100,3.53
Porbandar,IN,21.6422,69.6093,overcast clouds,49,76.95,98,8.86
San Cristobal,VE,7.7669,-72.225,scattered clouds,71,77.18,27,3.44
Heiligenhafen,DE,54.3667,10.9833,light snow,93,29.75,99,8.97
Puerto Ayora,EC,-0.7393,-90.3518,overcast clouds,90,78.76,86,5.01
Aykhal,RU,66.0,111.5,overcast clouds,100,-18.83,99,7.67
Flin Flon,CA,54.7682,-101.865,light snow,79,13.84,100,11.5
Khatanga,RU,71.9667,102.5,overcast clouds,100,-22.23,100,4.38
Yasnaya Polyana,RU,44.0225,42.7539,overcast clouds,85,30.4,100,2.48
Gizo,SB,-8.103,156.8419,broken clouds,72,83.35,51,3.96
Zhezkazgan,KZ,47.8043,67.7144,overcast clouds,79,13.1,92,8.75
Saint-Francois,FR,46.4154,3.9054,mist,93,38.64,100,2.3
Pervomaysk,UA,48.0443,30.8507,overcast clouds,100,33.67,100,2.68
Magadan,RU,59.5667,150.8,broken clouds,74,-0.81,67,20.85
El Juncal,HN,15.45,-86.4333,clear sky,52,84.27,0,3.69
Dingle,PH,10.9995,122.6711,overcast clouds,93,75.81,99,7.05
Thompson,CA,55.7435,-97.8558,light snow,86,21.36,100,9.22
Gamba,GA,-2.65,10.0,moderate rain,87,76.78,63,4.56
Moron,AR,-34.6534,-58.6198,clear sky,31,81.81,10,15.75
Dikson,RU,73.5069,80.5464,overcast clouds,90,4.17,100,23.04
Price,US,39.5994,-110.8107,scattered clouds,40,34.12,40,16.11
Yarada,IN,17.65,83.2667,broken clouds,76,75.42,53,3.51
Kokstad,ZA,-30.5472,29.4241,overcast clouds,98,62.51,98,3.0
Port Elizabeth,ZA,-33.918,25.5701,overcast clouds,95,72.32,100,2.3
Sfantu Gheorghe,RO,45.8667,25.7833,overcast clouds,97,43.27,88,3.56
Portland,US,45.5234,-122.6762,scattered clouds,69,49.05,40,7.0
Liverpool,GB,53.4106,-2.9779,clear sky,92,26.62,0,2.3
Mormugao,IN,15.4,73.8,overcast clouds,78,74.32,93,6.89
Tasiilaq,GL,65.6145,-37.6368,overcast clouds,63,19.56,91,5.01
Casper,US,42.8666,-106.3131,clear sky,66,22.71,0,3.44
Tynda,RU,55.1667,124.7167,scattered clouds,95,-35.55,29,4.63
Thanatpin,MM,17.2119,96.3033,overcast clouds,80,71.78,95,0.16
Yerbogachen,RU,61.2767,108.0108,overcast clouds,96,-1.57,100,8.84
Talnakh,RU,69.4865,88.3972,overcast clouds,90,-0.8,100,16.75
Asfi,MA,32.2994,-9.2372,few clouds,70,64.08,12,18.05
Uglegorsk,RU,49.0833,142.0333,light snow,88,13.78,100,20.62
Uribia,CO,11.7139,-72.266,broken clouds,62,83.14,55,21.23
Iqaluit,CA,63.7506,-68.5145,light snow,86,17.33,75,0.0
Vaini,TO,-21.2,-175.2,light rain,65,80.76,20,10.36
Great Yarmouth,GB,52.6083,1.7305,clear sky,58,37.94,8,15.48
Netarhat,IN,23.4833,84.2667,clear sky,49,47.39,8,2.84
Basco,PH,20.4487,121.9702,broken clouds,80,79.5,57,20.18
Luanda,AO,-8.8368,13.2343,few clouds,83,78.8,20,6.91
Iracoubo,GF,5.4802,-53.2011,broken clouds,90,76.14,61,8.63
Beringovskiy,RU,63.05,179.3167,overcast clouds,83,23.94,100,14.38
Port Blair,IN,11.6667,92.75,mist,69,80.64,40,2.3
Yar-Sale,RU,66.8333,70.8333,overcast clouds,90,12.09,100,17.9
San Patricio,US,28.017,-97.5169,clear sky,38,73.17,1,7.87
Kayerkan,RU,69.3497,87.7602,overcast clouds,84,-1.48,100,10.4
Benghazi,LY,32.1167,20.0667,scattered clouds,65,69.42,29,7.78
Kodiak,US,57.79,-152.4072,overcast clouds,100,36.91,100,3.44
Pontianak,ID,-0.0333,109.3333,moderate rain,94,73.38,75,4.61
Bungu,TZ,-7.6337,39.0582,clear sky,93,71.96,10,3.2
Port Lincoln,AU,-34.7333,135.8667,overcast clouds,67,58.75,100,15.12
Yulara,AU,-25.2406,130.9889,light rain,54,64.53,100,16.78
Ponta Do Sol,PT,32.6667,-17.1,broken clouds,77,64.71,51,13.27
Agadez,NE,19.75,10.25,broken clouds,21,65.14,76,2.39
Victoria,HK,22.2855,114.1577,overcast clouds,93,62.26,100,8.99
Ellensburg,US,46.9965,-120.5479,overcast clouds,88,37.02,99,4.16
Muli,MV,2.9167,73.5667,scattered clouds,78,79.27,49,3.89
Atar,MR,20.5169,-13.0499,clear sky,32,75.88,0,6.8
Kavieng,PG,-2.5744,150.7967,moderate rain,77,80.98,98,2.35
Grindavik,IS,63.8424,-22.4338,few clouds,63,21.67,20,24.16
Kondoa,TZ,-4.9,35.7833,broken clouds,76,63.46,80,3.76
Mackay,AU,-21.15,149.2,few clouds,68,78.67,16,9.89
Ostrovnoy,RU,68.0531,39.5131,broken clouds,88,14.25,69,25.03
Ahipara,NZ,-35.1667,173.1667,overcast clouds,71,72.23,100,3.91
Ola,RU,59.5833,151.2833,broken clouds,79,-4.63,60,24.52
Launceston,AU,-41.45,147.1667,overcast clouds,76,57.34,100,14.97
Verkhovazhye,RU,60.7472,42.0465,overcast clouds,90,17.78,100,8.97
Lao Cai,VN,22.4833,103.95,clear sky,94,55.26,6,0.69
Aksarka,RU,66.5606,67.7975,overcast clouds,95,9.0,100,13.4
Nikolskoye,RU,59.7035,30.7861,overcast clouds,98,17.49,100,2.19
Aranos,NA,-24.1333,19.1167,broken clouds,40,77.43,74,11.54
Karratha,AU,-20.7377,116.8463,clear sky,48,76.26,0,14.88
Saint-Joseph,RE,-21.3667,55.6167,light rain,84,75.58,60,7.63
Obidos,BR,-1.9175,-55.5181,overcast clouds,54,84.74,100,1.66
Faanui,PF,-16.4833,-151.75,overcast clouds,77,80.33,93,17.76
Opuwo,NA,-18.0607,13.84,overcast clouds,77,68.56,100,5.39
Toktogul,KG,41.8708,72.9402,few clouds,66,25.52,15,2.59
Abu Zabad,SD,12.35,29.25,broken clouds,29,69.28,70,10.92
Maceio,BR,-9.6658,-35.7353,clear sky,78,80.04,0,10.36
Sao Joao Da Barra,BR,-21.6403,-41.0511,broken clouds,75,77.09,54,8.48
Ust-Nera,RU,64.5667,143.2,overcast clouds,100,-39.24,85,2.68
Rayevskiy,RU,54.0658,54.9468,overcast clouds,100,-3.1,87,2.48
Gilgit,PK,35.9221,74.3087,scattered clouds,39,36.0,48,4.12
Umm Lajj,SA,25.0213,37.2685,clear sky,38,74.64,0,14.07
Gachala,CO,4.6924,-73.5204,overcast clouds,83,66.27,88,3.31
Hasaki,JP,35.7333,140.8333,clear sky,43,30.6,5,4.65
Kantang,TH,7.4054,99.5156,broken clouds,90,74.91,76,4.25
Svetlaya,RU,46.5389,138.3297,few clouds,73,-1.43,23,10.76
Komsomolskiy,UZ,40.4272,71.7189,fog,86,30.92,9,4.61
Luganville,VU,-15.5333,167.1667,scattered clouds,68,82.51,27,8.72
Ikongo,MG,-21.8833,47.4333,overcast clouds,98,68.74,93,2.04
Henties Bay,NA,-22.116,14.2845,overcast clouds,82,65.53,92,2.91
Republic,US,37.12,-93.4802,broken clouds,50,38.17,75,19.57
Salalah,OM,17.0151,54.0924,clear sky,38,78.89,0,13.8
Severo-Kurilsk,RU,50.6789,156.125,overcast clouds,74,25.34,86,11.74
Lakes Entrance,AU,-37.8811,147.981,overcast clouds,83,52.16,85,7.02
Dunedin,NZ,-45.8742,170.5036,light rain,98,61.81,100,4.09
Porto Recanati,IT,43.4365,13.6613,overcast clouds,10,54.3,100,7.29
Saint-Augustin,CA,51.226,-58.6502,broken clouds,75,30.04,72,16.69
Dali,CN,25.7,100.1833,clear sky,87,40.66,2,3.27
Lorengau,PG,-2.0226,147.2712,overcast clouds,87,78.06,100,4.61
Mokhsogollokh,RU,61.4681,128.9203,overcast clouds,99,-40.52,91,4.43
Vestmannaeyjar,IS,63.4427,-20.2734,light snow,80,26.04,100,8.7
Santa Rosa,PH,14.3122,121.1114,scattered clouds,96,78.78,27,7.47
Kahului,US,20.8947,-156.47,clear sky,63,80.83,0,6.91
Los Llanos De Aridane,ES,28.6585,-17.9182,scattered clouds,80,62.35,40,7.0
Cururupu,BR,-1.8283,-44.8683,overcast clouds,83,77.14,100,3.69
Gravdal,NO,68.1214,13.5031,scattered clouds,59,31.89,40,11.5
Imbituba,BR,-28.24,-48.6703,few clouds,76,72.01,23,13.58
Nantucket,US,41.2835,-70.0995,scattered clouds,82,44.71,40,13.8
North Bend,US,43.4065,-124.2243,clear sky,77,51.17,0,4.61
Nizwa,OM,22.9333,57.5333,clear sky,54,63.84,1,2.21
Kuvshinovo,RU,57.0295,34.1725,light snow,96,22.15,100,6.04
Seabrook,US,38.9679,-76.845,moderate rain,96,46.11,100,11.5
Souillac,MU,-20.5167,57.5167,scattered clouds,83,75.58,40,8.05
Ixtapa,MX,20.7,-105.2,clear sky,61,77.23,0,9.22
Okmulgee,US,35.6234,-95.9605,clear sky,26,45.16,0,13.8
Guerrero Negro,MX,27.9769,-114.0611,scattered clouds,28,65.73,30,8.41
Richards Bay,ZA,-28.783,32.0377,light rain,96,73.74,93,2.71
Araouane,ML,18.9048,-3.5265,clear sky,14,73.51,0,5.44
Balkanabat,TM,39.5108,54.3671,overcast clouds,48,51.22,100,3.58
Ust-Ishim,RU,57.6935,71.1665,few clouds,86,-2.15,12,8.21
Silver City,US,32.7701,-108.2803,clear sky,42,48.16,0,19.57
Surgut,RU,61.25,73.4167,clear sky,70,-1.91,0,15.99
Korla,CN,41.7597,86.1469,clear sky,66,17.98,4,4.47
Najran,SA,17.4924,44.1277,clear sky,45,57.85,2,0.11
Butembo,CD,0.15,29.2833,overcast clouds,96,55.81,85,2.71
Lompoc,US,34.6391,-120.4579,clear sky,69,62.02,0,5.75
Bubaque,GW,11.2833,-15.8333,clear sky,59,82.2,0,10.96
Loa Janan,ID,-0.583,117.095,overcast clouds,99,72.45,100,1.1
Fairbanks,US,64.8378,-147.7164,light snow,80,8.94,100,14.97
Pierre,US,44.3683,-100.351,light snow,89,18.86,100,39.12
Arman,RU,59.7,150.1667,broken clouds,71,-2.42,62,26.64
Cidreira,BR,-30.1811,-50.2056,overcast clouds,81,72.79,100,10.71
Kagoro,NG,9.6,8.3833,overcast clouds,23,70.39,94,4.85
Digha,IN,21.6833,87.55,few clouds,36,64.76,14,8.37
Meulaboh,ID,4.1363,96.1285,overcast clouds,91,76.03,99,6.31
Borovoy,RU,55.4333,86.0833,scattered clouds,77,-6.52,27,2.24
Anloga,GH,5.7947,0.8973,overcast clouds,84,80.92,93,9.62
Torit,SS,4.4133,32.5678,clear sky,54,77.13,9,1.1
Kerouane,GN,9.2667,-9.0167,clear sky,25,72.68,0,2.24
Camocim,BR,-2.9022,-40.8411,overcast clouds,76,80.17,99,14.23
Gao,ML,16.6362,1.637,broken clouds,15,72.59,80,9.66
Hami,CN,42.8,93.45,clear sky,50,16.41,1,4.5
Phalaborwa,ZA,-23.943,31.1411,moderate rain,87,72.68,100,7.2
Malanville,BJ,11.8685,3.3899,overcast clouds,15,74.95,98,8.63
Imeni Poliny Osipenko,RU,52.4201,136.4853,overcast clouds,98,-4.49,100,4.25
Murashi,RU,59.3999,48.9615,broken clouds,99,3.92,76,5.7
Poum,NC,-20.2333,164.0167,clear sky,67,79.72,0,4.09
Jamapa,MX,19.0333,-96.2333,few clouds,63,80.67,20,6.91
Guadalupe,MX,25.6833,-100.25,clear sky,40,82.4,0,8.05
Port-De-Bouc,FR,43.4,4.9833,broken clouds,97,54.59,75,5.75
Straumen,NO,63.8709,11.2999,overcast clouds,87,24.8,98,6.24
Kathor,IN,21.3,72.9333,broken clouds,75,74.77,82,4.59
San Quintin,MX,30.4833,-115.95,overcast clouds,47,60.93,93,8.79
La Ronge,CA,55.1001,-105.2842,few clouds,72,5.25,20,12.66
Pevek,RU,69.7008,170.3133,few clouds,96,-32.39,24,0.09
Logansport,US,40.7545,-86.3567,overcast clouds,78,36.9,97,12.37
Winnemucca,US,40.973,-117.7357,overcast clouds,60,33.85,100,0.0
Saint-Pierre,RE,-21.3393,55.4781,clear sky,83,76.68,0,3.44
Charters Towers,AU,-20.1,146.2667,clear sky,67,81.3,3,10.94
Howard Springs,AU,-12.497,131.047,overcast clouds,89,76.87,100,4.9
Bakchar,RU,57.0186,82.0711,scattered clouds,97,-11.81,39,3.96
Abhar,IR,36.1468,49.218,overcast clouds,82,39.47,99,2.33
Springdale,US,36.1867,-94.1288,clear sky,48,42.62,0,18.41
Carutapera,BR,-1.195,-46.02,broken clouds,85,77.14,68,6.06
Faya,SA,18.3851,42.4509,broken clouds,71,55.51,82,2.73
Banapur,IN,19.7833,85.1833,clear sky,71,71.53,7,1.79
Bossangoa,CF,6.4926,17.4552,clear sky,29,75.22,3,3.53
Mwinilunga,ZM,-11.7358,24.4293,light rain,97,62.1,100,3.62
Kyren,RU,51.6828,102.1408,broken clouds,83,-9.38,70,2.21
Shimoda,JP,34.6667,138.95,clear sky,70,41.11,0,22.66
Skole,UA,49.0372,23.5135,overcast clouds,97,35.58,100,2.98
Pouembout,NC,-21.1333,164.9,few clouds,63,83.71,24,2.55
Ketchikan,US,55.3422,-131.6461,overcast clouds,93,39.18,100,0.0
Dhidhdhoo,MV,6.8833,73.1,few clouds,76,81.16,12,15.17
Behat,IN,30.1667,77.6167,clear sky,51,51.22,0,2.66
Iranshahr,IR,27.2025,60.6848,clear sky,28,55.74,0,6.91
Kisangani,CD,0.5167,25.2,light rain,95,69.01,34,1.9
Ilhabela,BR,-23.7781,-45.3581,clear sky,76,71.53,3,8.52
Yomou,GN,7.5603,-9.2653,few clouds,52,71.46,15,1.3
Nara,JP,34.6851,135.8049,few clouds,69,42.49,16,4.07
Sayyan,YE,15.1718,44.3244,overcast clouds,51,47.48,94,2.95
Jeremie,HT,18.65,-74.1167,clear sky,70,78.12,9,1.92
Rawson,AR,-43.3002,-65.1023,clear sky,53,62.83,0,14.99
Razdolinsk,RU,58.4211,94.6658,overcast clouds,95,-2.79,100,7.23
Lodja,CD,-3.4833,23.4333,overcast clouds,84,71.01,94,0.72
Lamu,KE,-2.2717,40.902,clear sky,82,80.82,4,9.37
Vestmanna,FO,62.1564,-7.1664,overcast clouds,74,25.72,100,3.44
Buala,SB,-8.145,159.5921,light rain,75,83.32,75,4.18
Beloha,MG,-25.1667,45.05,overcast clouds,85,71.96,100,3.36
Beaverlodge,CA,55.2166,-119.4361,scattered clouds,92,18.75,50,3.44
Joshimath,IN,30.5667,79.5667,clear sky,17,49.3,0,8.14
Jalu,LY,29.0331,21.5482,clear sky,40,67.96,0,8.34
Ormara,PK,25.2088,64.6357,clear sky,42,74.21,0,3.44
Erenhot,CN,43.6475,111.9767,overcast clouds,56,2.44,100,11.59
Panan,PH,15.2134,120.0272,broken clouds,77,78.91,54,5.86
Cockburn Town,TC,21.4612,-71.1419,clear sky,67,77.95,0,15.05
Togitsu,JP,32.8333,129.85,broken clouds,81,44.58,75,9.22
Beidao,CN,34.5686,105.8933,overcast clouds,46,27.25,100,6.15
Dombarovskiy,RU,50.7587,59.5386,few clouds,92,0.95,16,2.84
Mnogovershinnyy,RU,53.9353,139.9242,overcast clouds,89,-12.66,100,10.98
Bagdarin,RU,54.4333,113.6,scattered clouds,92,-21.33,41,5.01
Balud,PH,10.1476,123.6953,overcast clouds,86,76.96,100,9.42
Cabo San Lucas,MX,22.8909,-109.9124,clear sky,56,77.61,0,11.5
Aklavik,CA,68.2191,-135.0107,few clouds,89,-8.36,21,9.98
Mahebourg,MU,-20.4081,57.7,scattered clouds,83,76.24,40,8.05
Valday,RU,57.9747,33.2525,light snow,96,20.1,100,3.78
Bartica,GY,6.4,-58.6167,overcast clouds,83,82.72,87,4.74
Kerema,PG,-7.9631,145.7785,overcast clouds,72,81.0,100,0.47
Auki,SB,-8.7676,160.7034,scattered clouds,75,82.29,30,2.66
Hlotse,LS,-28.8718,28.045,light rain,76,63.73,83,2.35
Kiruna,SE,67.8557,20.2251,clear sky,62,16.72,0,8.05
Bilma,NE,18.6853,12.9164,clear sky,18,70.52,7,6.87
Kensington,AU,-33.9167,151.2167,broken clouds,59,60.19,75,11.5
Adrar,MR,20.5022,-10.0711,clear sky,25,74.39,0,8.55
Karachev,RU,53.1229,34.9852,light snow,95,26.74,100,13.53
Tuatapere,NZ,-46.1333,167.6833,light rain,81,63.01,70,3.11
Kaputa,ZM,-8.4689,29.6619,overcast clouds,93,64.53,98,4.83
Komatipoort,ZA,-25.4332,31.9548,overcast clouds,91,73.06,100,3.87
Amuntai,ID,-2.4177,115.2494,overcast clouds,99,72.88,100,0.92
Ouahigouya,BF,13.5828,-2.4216,few clouds,10,73.63,17,9.35
Segovia,ES,41.1667,-4.0,overcast clouds,90,41.43,96,8.5
Mahon,ES,39.8885,4.2658,scattered clouds,82,61.36,40,16.11
Malanje,AO,-9.5402,16.341,overcast clouds,97,62.55,100,3.42
