City,Country,Lat,Lng,Description,Humidity,MaxTemp,Cloudiness,WindSpeed
College,US,64.8569,-147.8028,overcast clouds,96,-2.22,100,3.15
Busselton,AU,-33.65,115.3333,clear sky,43,78.08,0,15.21
Bluff,NZ,-46.6,168.3333,few clouds,69,56.32,19,9.13
Hobart,AU,-42.8794,147.3294,few clouds,54,84.27,20,13.8
Sabang,ID,5.8933,95.3214,overcast clouds,68,79.07,97,1.63
Bonavista,CA,48.6499,-53.1147,overcast clouds,68,25.63,87,9.08
Newport,GB,51.5877,-2.9984,scattered clouds,86,47.77,29,20.92
Vaini,TO,-21.2,-175.2,broken clouds,79,87.96,75,6.91
Yarensk,RU,62.1675,49.0916,light snow,92,10.54,100,11.07
Goderich,CA,43.7501,-81.7165,broken clouds,86,32.32,74,12.66
Mahebourg,MU,-20.4081,57.7,light rain,78,81.25,75,3.44
Hilo,US,19.7297,-155.09,clear sky,91,76.28,4,1.01
Palafrugell,ES,41.9174,3.1631,scattered clouds,59,36.36,45,3.98
Oistins,BB,13.0667,-59.5333,broken clouds,78,78.89,75,13.8
Abha,SA,18.2164,42.5053,clear sky,87,46.22,0,0.0
Arraial Do Cabo,BR,-22.9661,-42.0278,overcast clouds,94,73.99,96,12.77
Lagoa,PT,39.05,-27.9833,few clouds,65,58.15,13,13.31
Kargopol,RU,61.5071,38.9456,light snow,93,19.15,100,13.96
Atuona,PF,-9.8,-139.0333,few clouds,74,78.49,12,13.33
Carnarvon,AU,-24.8667,113.6333,clear sky,47,82.26,0,16.13
Sao Filipe,CV,14.8961,-24.4956,clear sky,70,74.48,0,11.36
Rawson,AR,-43.3002,-65.1023,light rain,91,61.77,100,9.22
Gidole,ET,5.65,37.3667,few clouds,43,62.06,22,2.98
Labuhan,ID,-6.8844,112.2051,light rain,62,87.08,73,4.38
Kerema,PG,-7.9631,145.7785,scattered clouds,72,84.18,44,8.16
Nguru,NG,12.8791,10.4526,clear sky,28,58.98,0,10.4
Marang,MY,5.2056,103.2059,broken clouds,75,83.97,62,4.34
Port Elizabeth,ZA,-33.918,25.5701,broken clouds,89,73.31,75,5.75
Touros,BR,-5.1989,-35.4608,clear sky,76,77.79,5,9.48
Mao,ES,39.8885,4.2658,few clouds,93,50.56,20,4.61
Cidreira,BR,-30.1811,-50.2056,broken clouds,93,71.56,82,11.48
Omsukchan,RU,62.5333,155.8,overcast clouds,99,-16.62,100,3.6
Alice Springs,AU,-23.7,133.8833,scattered clouds,40,90.95,40,5.75
Kodiak,US,57.79,-152.4072,scattered clouds,88,33.44,35,4.83
Beringovskiy,RU,63.05,179.3167,few clouds,90,-7.1,14,11.16
Kingisepp,RU,59.3733,28.6134,overcast clouds,93,28.8,100,9.95
Harper,LR,4.375,-7.7169,scattered clouds,85,77.47,28,2.51
San Joaquin,US,37.9333,-121.3011,overcast clouds,89,50.95,86,6.85
Marataizes,BR,-21.0433,-40.8244,overcast clouds,92,74.41,100,9.73
Bethel,US,41.3712,-73.414,overcast clouds,68,36.75,100,1.01
Gigmoto,PH,13.7796,124.39,overcast clouds,87,77.05,90,13.67
Mar Del Plata,AR,-38.0023,-57.5575,clear sky,90,70.09,0,17.0
Novichikha,RU,52.204,81.3877,overcast clouds,94,-12.86,100,13.0
Upernavik,GL,72.7868,-56.1549,broken clouds,98,-23.48,60,6.76
Pisco,PE,-13.7,-76.2167,clear sky,88,68.05,0,0.0
Baykit,RU,61.67,96.37,overcast clouds,100,-32.91,100,2.19
Victoria,HK,22.2855,114.1577,overcast clouds,88,68.05,100,4.0
Wau,SS,7.7029,27.9953,broken clouds,30,68.29,84,5.57
Rabo De Peixe,PT,37.8,-25.5833,broken clouds,76,54.91,75,2.3
Santiago De Cao,PE,-7.9589,-79.2392,fog,88,68.13,75,8.05
Port Alfred,ZA,-33.5906,26.891,few clouds,96,71.19,24,2.19
Lata,PT,40.1629,-8.3327,overcast clouds,98,57.81,100,3.69
Yellowknife,CA,62.456,-114.3525,broken clouds,85,5.52,75,6.91
Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,few clouds,38,75.85,20,5.66
Yerbogachen,RU,61.2767,108.0108,overcast clouds,92,-20.34,99,9.89
Lompoc,US,34.6391,-120.4579,overcast clouds,88,52.59,94,2.55
Chokurdakh,RU,70.6333,147.9167,broken clouds,100,-50.58,78,1.86
Biak,ID,-0.9131,122.8766,overcast clouds,65,83.39,100,1.83
Khasan,RU,42.4308,130.6434,broken clouds,54,35.73,53,3.06
Bambous Virieux,MU,-20.3428,57.7575,light rain,78,81.21,75,3.44
Sitka,US,57.0531,-135.33,light rain,88,37.26,100,6.04
Port Arthur,CN,38.8,121.2667,broken clouds,59,46.62,73,9.13
Pringsewu,ID,-5.3582,104.9744,broken clouds,56,88.0,76,6.31
Barrow,US,71.2906,-156.7887,broken clouds,77,-12.98,75,18.41
Jamestown,US,42.097,-79.2353,scattered clouds,61,32.02,45,1.99
Maningrida,AU,-12.0667,134.2667,overcast clouds,60,88.84,98,11.32
Saint-Philippe,RE,-21.3585,55.7679,broken clouds,77,81.99,78,10.22
Bohdan,UA,48.0412,24.3522,overcast clouds,97,39.33,100,3.58
Flinders,AU,-34.5833,150.8552,scattered clouds,73,77.18,30,5.01
Port Hedland,AU,-20.3167,118.5667,clear sky,62,89.65,6,11.5
Bykivka,UA,50.2929,27.9831,overcast clouds,86,25.61,100,12.08
Vaitape,PF,-16.5167,-151.75,light rain,71,80.71,100,14.27
Las Vegas,US,36.175,-115.1372,clear sky,46,52.48,0,27.63
Camocim,BR,-2.9022,-40.8411,broken clouds,80,76.19,57,9.24
Middelburg,ZA,-25.7751,29.4648,clear sky,65,66.78,1,6.89
Berdigestyakh,RU,62.0989,126.6992,overcast clouds,96,-12.53,99,3.74
Angoche,MZ,-16.2325,39.9086,scattered clouds,82,79.02,48,4.81
Pokhara,NP,28.2333,83.9833,clear sky,21,65.14,0,5.99
Zlobin,HR,45.2924,14.6541,clear sky,52,35.58,0,3.44
Kresek,ID,-6.1314,106.3797,broken clouds,50,91.56,80,5.53
Qaanaaq,GL,77.484,-69.3632,overcast clouds,98,-14.37,100,5.66
Valparaiso,CL,-33.0393,-71.6273,clear sky,100,65.48,0,2.3
Bonfim,BR,3.0833,-59.95,scattered clouds,83,75.6,46,5.88
Hambantota,LK,6.1241,81.1185,few clouds,69,80.94,20,11.5
Longyearbyen,SJ,78.2186,15.6401,light rain and snow,100,30.04,75,5.75
Aklavik,CA,68.2191,-135.0107,overcast clouds,99,-23.06,100,1.83
Grand-Lahou,CI,5.1367,-5.0242,scattered clouds,89,76.89,39,1.61
Colares,PT,38.7992,-9.4469,light rain,95,61.32,100,5.01
Hauterive,FR,46.0901,3.4459,overcast clouds,81,48.96,100,6.98
Charlestown,AU,-32.95,151.6667,few clouds,61,80.02,13,3.0
Leona Vicario,MX,20.9667,-87.1917,clear sky,95,66.72,6,2.82
Kamwenge,UG,0.1866,30.4539,overcast clouds,85,63.72,100,1.07
Hasaki,JP,35.7333,140.8333,broken clouds,37,52.21,82,3.74
Nizhniy Mamon,RU,50.1937,40.5083,few clouds,70,5.63,16,14.61
Castro,BR,-24.7911,-50.0119,overcast clouds,98,60.82,100,3.44
Bandarbeyla,SO,9.4942,50.8122,clear sky,67,76.78,5,14.61
Cooma,AU,-36.2333,149.1333,few clouds,25,86.07,16,6.96
Dutlwe,BW,-23.9833,23.9,scattered clouds,35,76.26,37,6.26
Kalmunai,LK,7.4167,81.8167,overcast clouds,68,77.5,97,10.07
Mayumba,GA,-3.432,10.6554,light rain,89,76.5,82,5.82
Mtwara,TZ,-10.2667,40.1833,moderate rain,94,76.33,20,11.5
Inuvik,CA,68.3499,-133.7218,broken clouds,76,-17.54,75,5.75
Asyut,EG,27.181,31.1837,clear sky,66,51.17,1,2.24
Vostok,RU,46.4856,135.8833,overcast clouds,83,19.89,95,3.33
Emilio Carranza,MX,19.9711,-96.6114,scattered clouds,87,70.45,30,7.56
Hithadhoo,MV,-0.6,73.0833,broken clouds,76,81.5,67,12.59
Moyale,KE,3.5167,39.0584,scattered clouds,49,71.71,30,4.29
Buala,SB,-8.145,159.5921,light rain,73,83.34,91,6.17
Nara,JP,34.6851,135.8049,scattered clouds,33,49.37,36,4.14
Port Blair,IN,11.6667,92.75,few clouds,58,84.24,20,11.5
Wewak,PG,-3.5534,143.6268,broken clouds,76,83.17,78,5.3
Cabo San Lucas,MX,22.8909,-109.9124,clear sky,68,70.52,0,9.84
Jinxiang,CN,27.4327,120.6062,overcast clouds,74,59.16,89,6.71
Puerto Ayora,EC,-0.7393,-90.3518,few clouds,91,70.56,19,1.99
Tasiilaq,GL,65.6145,-37.6368,broken clouds,54,0.09,56,4.63
Zhezkazgan,KZ,47.8043,67.7144,few clouds,76,-18.42,20,6.71
Dasoguz,TM,41.8363,59.9666,clear sky,78,-0.45,0,4.61
Pinega,RU,64.7001,43.3936,overcast clouds,92,16.12,100,10.58
Lethem,GY,3.3803,-59.7968,broken clouds,87,74.62,53,8.52
Fairbanks,US,64.8378,-147.7164,overcast clouds,97,-2.27,100,2.82
Bassar,TG,9.25,0.7833,few clouds,25,66.67,13,4.18
Baruun-Urt,MN,46.6806,113.2792,broken clouds,78,20.59,83,7.38
Vadamadurai,IN,10.4667,78.0833,scattered clouds,54,76.26,35,6.02
Verkhnevilyuysk,RU,63.4453,120.3167,overcast clouds,93,-31.61,96,6.04
Kasiri,SL,8.9412,-13.1148,clear sky,87,78.98,2,1.14
Behbahan,IR,30.5959,50.2417,scattered clouds,79,51.89,46,2.53
Mayo,US,38.8876,-76.5119,clear sky,83,39.11,0,0.0
Dondo,MZ,-19.6094,34.7431,clear sky,75,78.31,9,4.65
San Patricio,US,28.017,-97.5169,clear sky,90,68.85,0,10.02
Thanh Hoa,VN,19.8,105.7667,overcast clouds,89,66.42,99,1.59
Gibsons,CA,49.3997,-123.5027,overcast clouds,91,46.35,100,8.88
Seredka,RU,58.1584,28.1858,overcast clouds,93,24.55,100,11.59
Iqaluit,CA,63.7506,-68.5145,clear sky,76,-16.87,0,12.66
Georgetown,MY,5.4112,100.3354,few clouds,74,89.53,20,3.44
Nizhniy Kuranakh,RU,58.8353,125.4869,overcast clouds,89,3.51,90,8.08
Havelock,US,34.8791,-76.9013,broken clouds,80,51.75,81,2.62
Kahului,US,20.8947,-156.47,few clouds,83,73.85,12,3.0
Urumqi,CN,43.801,87.6005,mist,93,18.55,100,4.47
Lorengau,PG,-2.0226,147.2712,moderate rain,77,82.71,100,6.76
Saint-Joseph,RE,-21.3667,55.6167,overcast clouds,75,80.98,87,3.94
Saskylakh,RU,71.9167,114.0833,overcast clouds,100,-52.6,91,2.8
Pevek,RU,69.7008,170.3133,overcast clouds,100,-18.51,98,3.67
Talara,PE,-4.5772,-81.2719,overcast clouds,86,68.86,93,8.86
Port Lincoln,AU,-34.7333,135.8667,few clouds,45,77.43,12,11.43
La Ronge,CA,55.1001,-105.2842,light snow,92,14.25,100,1.14
Glinka,RU,54.6404,32.8781,light snow,93,14.29,100,13.73
Provideniya,RU,64.3833,-173.3,few clouds,61,6.91,20,22.37
Beboto,TD,8.2668,16.939,scattered clouds,28,62.38,47,4.83
Aripuana,BR,-9.1667,-60.6333,scattered clouds,98,68.72,28,1.74
Henties Bay,NA,-22.116,14.2845,overcast clouds,92,63.45,100,6.55
Severo-Kurilsk,RU,50.6789,156.125,broken clouds,68,20.7,73,24.34
Hastings,GB,50.8552,0.5729,broken clouds,82,49.78,66,16.82
Lalganj,IN,25.8667,85.1833,clear sky,29,51.75,0,6.98
Tuatapere,NZ,-46.1333,167.6833,clear sky,63,59.29,3,8.66
Nanakuli,US,21.3906,-158.1547,clear sky,68,73.45,4,10.78
Arinos,BR,-15.9169,-46.1056,light rain,95,68.68,33,1.32
Alim,PH,9.5649,122.4876,light rain,89,76.46,100,16.08
Bloemhof,ZA,-27.6469,25.607,clear sky,26,76.24,3,4.99
Margate,GB,51.3813,1.3862,overcast clouds,84,46.87,92,4.0
Oussouye,SN,12.485,-16.5469,overcast clouds,19,74.21,93,8.23
Ibicarai,BR,-14.865,-39.5875,overcast clouds,99,69.04,89,0.81
Linares,CL,-35.85,-71.6,clear sky,41,56.5,0,6.31
Dabhol,IN,17.6,73.1667,clear sky,22,82.38,3,1.61
Biltine,TD,14.5333,20.9167,scattered clouds,31,59.52,35,8.84
Vila Velha,BR,-20.3297,-40.2925,overcast clouds,94,76.95,100,5.99
Salinopolis,BR,-0.6136,-47.3561,overcast clouds,84,78.42,100,11.05
Berezovka,BY,53.7214,25.4993,overcast clouds,93,30.27,100,7.54
Butaritari,KI,3.0707,172.7902,few clouds,74,81.27,16,12.75
Port Augusta,AU,-32.5,137.7667,broken clouds,25,93.43,84,15.08
Bima,ID,-8.4667,118.7167,overcast clouds,56,87.73,96,1.86
Auki,SB,-8.7676,160.7034,overcast clouds,75,82.2,98,6.38
Paamiut,GL,61.994,-49.6678,overcast clouds,67,21.33,100,6.98
Vila Do Maio,CV,15.1333,-23.2167,clear sky,73,73.98,0,17.09
Saint-Louis,SN,16.3333,-15.0,overcast clouds,12,71.56,100,10.4
Beloha,MG,-25.1667,45.05,clear sky,72,79.41,0,1.21
Katsuura,JP,35.1333,140.3,broken clouds,53,50.02,80,5.5
Orlik,RU,52.5178,99.825,light snow,89,8.71,100,4.56
Mackenzie,CA,55.2999,-123.1698,overcast clouds,98,24.64,96,1.52
Muyezerskiy,RU,63.9333,31.65,light snow,97,32.09,97,13.58
Faanui,PF,-16.4833,-151.75,light rain,72,80.65,100,14.36
Yar-Sale,RU,66.8333,70.8333,broken clouds,99,-37.55,58,7.29
Palmer,US,42.1584,-72.3287,overcast clouds,74,29.43,100,3.13
Luderitz,NA,-26.6481,15.1594,overcast clouds,73,65.68,100,7.25
Yulara,AU,-25.2406,130.9889,broken clouds,28,94.75,69,6.82
Nikolskoye,RU,59.7035,30.7861,overcast clouds,90,28.29,100,11.79
Skibbereen,IE,51.55,-9.2667,few clouds,80,45.1,14,27.42
Sao Joao Da Barra,BR,-21.6403,-41.0511,overcast clouds,93,74.57,97,13.11
Suntar,RU,62.1444,117.6319,overcast clouds,94,-23.66,98,3.06
Ahipara,NZ,-35.1667,173.1667,few clouds,78,67.93,13,16.58
Saumur,FR,47.3333,-0.25,overcast clouds,91,53.71,100,15.23
Belyy,RU,55.8402,32.9419,light snow,91,16.07,100,11.77
Tulle,FR,45.3333,1.8333,overcast clouds,96,43.99,100,3.06
Tiksi,RU,71.6872,128.8694,overcast clouds,100,-40.67,94,2.71
Asau,RO,46.4333,26.4,overcast clouds,98,38.48,100,6.08
Imatra,FI,61.1719,28.7524,light snow,90,36.1,100,1.99
Klaksvik,FO,62.2266,-6.589,moderate rain,96,41.92,100,27.81
Miracema Do Tocantins,BR,-9.5618,-48.3967,scattered clouds,90,72.84,49,2.19
Belmonte,BR,-15.8631,-38.8828,overcast clouds,88,75.67,89,5.35
Smila,UA,49.2224,31.8871,overcast clouds,53,19.17,96,12.71
Zhigansk,RU,66.7697,123.3711,overcast clouds,97,-25.26,100,7.58
Vao,NC,-22.6667,167.4833,clear sky,65,76.24,10,13.13
Saint Paul,US,44.9444,-93.0933,mist,91,30.76,100,0.0
Comodoro Rivadavia,AR,-45.8667,-67.5,heavy intensity rain,87,49.73,100,14.94
Cumra,TR,37.5732,32.7745,broken clouds,94,37.98,78,12.88
Shaunavon,CA,49.6501,-108.4181,scattered clouds,96,18.41,38,4.0
Navur,AM,40.8669,45.3418,light snow,93,11.57,100,0.72
Kaifeng,CN,34.7911,114.3483,clear sky,42,51.85,0,8.01
Sterling,US,39.0062,-77.4286,clear sky,77,38.14,0,1.99
Kurumkan,RU,54.3,110.3,overcast clouds,81,16.38,100,2.39
Eyl,SO,7.9803,49.8164,clear sky,73,76.39,5,15.66
Ivolginsk,RU,51.7492,107.2837,light snow,85,2.86,100,2.24
Havoysund,NO,70.9963,24.6622,overcast clouds,80,28.63,100,9.53
Leshukonskoye,RU,64.8989,45.7622,light snow,94,12.52,100,9.69
Tsumeb,NA,-19.2333,17.7167,overcast clouds,65,72.21,99,9.66
Krasnoye,UA,49.9145,24.6134,overcast clouds,93,36.81,100,5.5
Sinnamary,GF,5.3833,-52.95,overcast clouds,92,74.71,97,7.87
Huarmey,PE,-10.0681,-78.1522,overcast clouds,79,69.3,99,5.73
Umm Lajj,SA,25.0213,37.2685,clear sky,47,63.1,0,10.89
Monterey,US,36.2505,-121.2516,scattered clouds,88,44.19,48,2.53
Hirara,JP,24.8,125.2833,scattered clouds,61,70.83,44,14.29
Ust-Uda,RU,54.1742,103.0304,overcast clouds,80,-1.71,100,6.62
Tawau,MY,4.2498,117.8871,overcast clouds,75,80.78,100,4.05
Katangli,RU,51.7102,143.2326,overcast clouds,88,9.7,99,5.86
Sistranda,NO,63.7256,8.834,overcast clouds,67,39.16,100,25.41
Alofi,NU,-19.0595,-169.9187,overcast clouds,80,79.2,100,17.65
Barcelos,PT,41.5388,-8.6151,overcast clouds,94,55.54,100,6.93
Lagunas,PE,-5.2269,-75.6753,overcast clouds,98,71.73,93,2.1
Flin Flon,CA,54.7682,-101.865,overcast clouds,99,3.65,97,3.98
Gravdal,NO,68.1214,13.5031,light intensity shower rain,75,39.09,75,10.36
Airai,TL,-8.9266,125.4092,overcast clouds,77,69.55,85,2.48
Sioux Lookout,CA,50.1001,-91.917,light snow,100,26.67,100,5.75
Juneau,US,58.3019,-134.4197,overcast clouds,100,32.22,99,6.42
Porto Torres,IT,40.835,8.3972,broken clouds,75,42.98,75,6.85
Beitbridge,ZW,-22.2167,30.0,clear sky,57,75.43,3,15.61
Vila Franca Do Campo,PT,37.7167,-25.4333,broken clouds,81,55.81,68,5.75
Port Hardy,CA,50.6996,-127.4199,overcast clouds,88,43.2,100,7.56
Sassandra,CI,4.95,-6.0833,few clouds,93,74.82,23,1.54
Aranda De Duero,ES,41.6704,-3.6892,overcast clouds,85,45.77,100,10.89
Tommot,RU,58.9564,126.2925,overcast clouds,89,5.52,100,8.84
Thompson,CA,55.7435,-97.8558,overcast clouds,98,2.62,100,4.21
Cockburn Town,TC,21.4612,-71.1419,clear sky,76,76.51,4,11.92
Shubarkuduk,KZ,49.1447,56.4872,clear sky,81,-12.78,2,3.4
Kruisfontein,ZA,-34.0033,24.7314,scattered clouds,78,67.89,43,4.18
Nahrin,AF,36.0649,69.1334,snow,93,20.25,100,5.66
Pangai,TO,-19.8,-174.35,light rain,77,81.34,85,7.36
Talavera,PH,15.6167,120.9333,scattered clouds,48,86.88,25,5.59
Eruwa,NG,7.5333,3.4167,clear sky,33,70.57,0,2.93
Cassilandia,BR,-19.1133,-51.7342,overcast clouds,94,69.78,95,3.4
Ponta Do Sol,PT,32.6667,-17.1,scattered clouds,78,66.83,46,3.98
Belyy Yar,RU,53.6039,91.3903,clear sky,50,-2.31,0,17.9
Pacifica,US,37.6138,-122.4869,mist,85,55.15,40,13.8
Manta,EC,-0.95,-80.7333,overcast clouds,81,75.11,88,6.8
Ostersund,SE,63.1792,14.6357,heavy snow,100,29.61,75,23.0
Bulawayo,ZW,-20.15,28.5833,few clouds,49,65.61,24,6.78
Kupang,ID,-10.1667,123.5833,broken clouds,83,82.98,75,8.05
Puerto Suarez,BO,-18.95,-57.8,few clouds,96,72.27,15,3.04
Saint Anthony,US,45.0205,-93.218,mist,91,30.13,100,3.44
Ornskoldsvik,SE,63.2909,18.7153,overcast clouds,98,32.95,96,5.19
Luwuk,ID,-0.9516,122.7875,overcast clouds,69,84.88,100,1.63
Fukue,JP,32.6881,128.8419,scattered clouds,61,57.76,35,2.3
Kadhan,PK,24.481,68.9859,clear sky,62,73.92,0,11.32
Easton,US,40.6884,-75.2207,overcast clouds,74,38.16,100,2.51
Boa Esperanca Do Sul,BR,-21.9925,-48.3908,moderate rain,97,68.23,100,1.77
Paciran,ID,-6.8767,112.3761,broken clouds,65,85.96,66,2.3
Medea,DZ,36.2642,2.7539,clear sky,89,45.3,0,3.27
Sao Felix Do Xingu,BR,-6.6447,-51.995,overcast clouds,99,70.61,100,0.67
Morant Bay,JM,17.8815,-76.4093,clear sky,83,76.62,0,7.18
Najran,SA,17.4924,44.1277,clear sky,66,59.76,0,3.22
Sampit,ID,-2.5333,112.95,overcast clouds,54,89.85,85,3.53
Dikson,RU,73.5069,80.5464,broken clouds,98,-29.83,59,5.12
Grand-Santi,GF,4.25,-54.3833,overcast clouds,100,71.4,99,1.99
Obo,CF,5.3998,26.4869,broken clouds,33,68.05,51,5.35
Corbelia,BR,-24.7989,-53.3067,overcast clouds,93,63.82,94,2.86
Necochea,AR,-38.5473,-58.7368,clear sky,89,64.24,1,12.03
Virpur,IN,23.1833,73.4833,clear sky,35,73.76,0,3.6
Vredendal,ZA,-31.6683,18.5012,scattered clouds,68,65.77,45,1.23
Kavaratti,IN,10.5669,72.642,broken clouds,59,79.95,73,2.86
Farah,AF,32.5,62.5,few clouds,59,27.91,12,9.33
Te Anau,NZ,-45.4167,167.7167,broken clouds,50,64.71,71,4.74
Broome,US,42.2506,-75.833,overcast clouds,79,32.7,100,3.0
Narsaq,GL,60.9167,-46.05,overcast clouds,69,23.22,100,8.7
Santarem,BR,-2.4431,-54.7083,overcast clouds,93,72.72,93,2.98
Norman Wells,CA,65.282,-126.8329,light snow,92,1.44,100,2.3
Grindavik,IS,63.8424,-22.4338,broken clouds,86,32.47,75,10.36
Mount Isa,AU,-20.7333,139.5,broken clouds,52,91.17,75,5.75
Vysokogornyy,RU,50.1167,139.15,overcast clouds,86,10.24,100,4.38
Luganville,VU,-15.5333,167.1667,overcast clouds,78,79.48,96,4.92
Broken Hill,AU,-31.95,141.4333,overcast clouds,16,94.35,100,13.2
Dawei,MM,14.0833,98.2,clear sky,51,88.47,8,7.07
Meulaboh,ID,4.1363,96.1285,overcast clouds,67,83.01,99,3.4
Ko Samui,TH,9.5357,99.9357,overcast clouds,74,79.63,85,2.68
Ewa Beach,US,21.3156,-158.0072,clear sky,64,78.85,0,10.36
Ponte San Nicolo,IT,45.3705,11.9211,few clouds,73,41.92,11,3.47
Ancud,CL,-41.8697,-73.8203,clear sky,79,47.55,3,4.76
Levelland,US,33.5873,-102.378,overcast clouds,26,57.96,100,8.99
Midland,US,31.9974,-102.0779,clear sky,25,64.45,0,12.66
Orbottyan,HU,47.6871,19.2824,few clouds,87,37.99,16,6.53
Tongzi,CN,28.7829,105.0877,overcast clouds,61,57.76,98,3.38
Yeniseysk,RU,58.4497,92.1703,overcast clouds,92,-18.53,100,6.46
Carutapera,BR,-1.195,-46.02,overcast clouds,82,78.06,99,7.54
Marawi,PH,7.9986,124.2928,overcast clouds,98,69.37,100,5.86
Fort Nelson,CA,58.8053,-122.7002,overcast clouds,100,-2.92,92,0.92
Udachnyy,RU,66.4167,112.4,overcast clouds,95,-39.37,100,4.83
Francisco Sa,BR,-16.4758,-43.4883,overcast clouds,91,68.18,99,3.49
Bondoukou,CI,8.0333,-2.8,clear sky,23,70.02,1,2.84
Guerrero Negro,MX,27.9769,-114.0611,clear sky,90,60.35,1,14.61
Burnie,AU,-41.0667,145.9167,few clouds,62,66.31,21,9.33
Saint George,US,37.1041,-113.5841,scattered clouds,63,48.79,40,13.8
Arlit,NE,18.7369,7.3853,clear sky,27,54.19,1,6.29
Santo Antonio Do Ica,BR,-3.1022,-67.9397,overcast clouds,97,72.27,87,1.59
Son La,VN,21.3167,103.9,scattered clouds,58,75.54,49,0.81
Gazimurskiy Zavod,RU,51.5461,118.3266,broken clouds,81,18.54,80,1.36
Christchurch,NZ,-43.5333,172.6333,broken clouds,60,71.33,75,4.61
Bonoua,CI,5.2741,-3.595,scattered clouds,91,80.22,39,0.56
Pirovskoye,RU,57.6267,92.2658,overcast clouds,90,-16.94,100,9.17
Jibert,RO,46.0,25.0667,overcast clouds,86,35.8,100,19.86
Camacha,PT,33.0833,-16.3333,broken clouds,82,60.22,75,2.3
Amapa,BR,1.0,-52.0,overcast clouds,99,70.97,100,1.48
Ketchikan,US,55.3422,-131.6461,light rain,91,38.95,100,6.58
San Quintin,MX,30.4833,-115.95,scattered clouds,91,59.94,33,6.69
Khatanga,RU,71.9667,102.5,overcast clouds,98,-32.55,100,7.0
Balikpapan,ID,-1.2675,116.8289,few clouds,70,85.19,20,5.75
Sligo,IE,54.2697,-8.4694,scattered clouds,86,42.69,36,23.0
Bumba,CD,2.1833,22.4667,overcast clouds,62,70.34,99,1.19
Agirish,RU,61.9247,63.0231,overcast clouds,76,0.91,100,10.78
Evensk,RU,61.95,159.2333,light snow,93,14.41,100,7.09
Verkhnyaya Inta,RU,65.9811,60.3094,overcast clouds,91,0.81,100,19.44
Grand Gaube,MU,-20.0064,57.6608,light rain,65,82.8,11,1.01
Imeni Zhelyabova,RU,58.9544,36.5956,light snow,93,17.02,100,13.76
